Compartment	Cluster	Trend	OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
RS	RSC1	Transient Enrichment	1087611	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Ellin5290	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	959195	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Ellin5301	unclassified	unclassified
RS	RSC1	Transient Enrichment	837069	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	unclassified
RS	RSC1	Transient Enrichment	868209	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	1106130	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	unclassified	unclassified
RS	RSC1	Transient Enrichment	719440	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	1000876	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	unclassified
RS	RSC1	Transient Enrichment	238700	Bacteria	Actinobacteria	Rubrobacteria	Rubrobacterales	Rubrobacteraceae	Rubrobacter	unclassified
RS	RSC1	Transient Enrichment	4385104	Bacteria	Armatimonadetes	Chthonomonadetes	SJA-22	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	1024572	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	4370817	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	826497	Bacteria	Chloroflexi	unclassified	unclassified	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	824675	Bacteria	Bacteroidetes	[Saprospirae]	[Saprospirales]	Chitinophagaceae	unclassified	unclassified
RS	RSC1	Transient Enrichment	226395	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	235943	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	unclassified	unclassified
RS	RSC1	Transient Enrichment	3116297	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	1435	Bacteria	Armatimonadetes	Chthonomonadetes	SJA-22	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	518927	Archaea	Crenarchaeota	MCG	pGrfC26	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	2345835	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	256507	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Thermomonosporaceae	Actinomadura	vinacea
RS	RSC1	Transient Enrichment	4480593	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Anaeromyxobacter	unclassified
RS	RSC1	Transient Enrichment	612403	Bacteria	Gemmatimonadetes	Gemmatimonadetes	unclassified	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	905498	Bacteria	Acidobacteria	iii1-8	DS-18	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	1069076	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Adhaeribacter	unclassified
RS	RSC1	Transient Enrichment	332725	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	1029463	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	unclassified	unclassified
RS	RSC1	Transient Enrichment	1037111	Bacteria	Bacteroidetes	[Saprospirae]	[Saprospirales]	Chitinophagaceae	Flavisolibacter	unclassified
RS	RSC1	Transient Enrichment	997544	Bacteria	Bacteroidetes	[Saprospirae]	[Saprospirales]	Chitinophagaceae	Flavisolibacter	unclassified
RS	RSC1	Transient Enrichment	982582	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	unclassified
RS	RSC1	Transient Enrichment	3334375	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae	unclassified	unclassified
RS	RSC1	Transient Enrichment	869089	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Sporichthyaceae	unclassified	unclassified
RS	RSC1	Transient Enrichment	316151	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Sinobacteraceae	unclassified	unclassified
RS	RSC1	Transient Enrichment	1039041	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Sporichthyaceae	unclassified	unclassified
RS	RSC1	Transient Enrichment	1140357	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	268040	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	lanatus
RS	RSC1	Transient Enrichment	1087325	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	unclassified	unclassified
RS	RSC1	Transient Enrichment	250148	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Kineosporiaceae	unclassified	unclassified
RS	RSC1	Transient Enrichment	328081	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	unclassified	unclassified
RS	RSC1	Transient Enrichment	726273	Bacteria	Chloroflexi	Anaerolineae	SJA-15	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	112962	Bacteria	Chloroflexi	Chloroflexi	Herpetosiphonales	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	804735	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Brevibacteriaceae	Brevibacterium	unclassified
RS	RSC1	Transient Enrichment	940630	Bacteria	Planctomycetes	Planctomycetia	Gemmatales	Isosphaeraceae	unclassified	unclassified
RS	RSC1	Transient Enrichment	795901	Bacteria	Gemmatimonadetes	Gemm-3	unclassified	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	1037355	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	unclassified
RS	RSC1	Transient Enrichment	2591424	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	562332	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	969805	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	unclassified
RS	RSC1	Transient Enrichment	535678	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Amycolatopsis	coloradensis
RS	RSC1	Transient Enrichment	806201	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	unclassified
RS	RSC1	Transient Enrichment	1146	Archaea	Crenarchaeota	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Candidatus Nitrososphaera	unclassified
RS	RSC1	Transient Enrichment	568461	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae	unclassified	unclassified
RS	RSC4	Persistent Depletion	246691	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae	unclassified	unclassified
RS	RSC4	Persistent Depletion	234790	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	mexicanus
RS	RSC4	Persistent Depletion	236435	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	unclassified	unclassified
RS	RSC4	Persistent Depletion	169725	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	unclassified	unclassified
RS	RSC4	Persistent Depletion	822195	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	unclassified
RS	RSC4	Persistent Depletion	231136	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	unclassified
RS	RSC4	Persistent Depletion	540653	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	unclassified	unclassified
RS	RSC4	Persistent Depletion	530591	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	unclassified	unclassified
RS	RSC4	Persistent Depletion	531901	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	unclassified	unclassified
RS	RSC4	Persistent Depletion	369022	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	unclassified	unclassified
RS	RSC4	Persistent Depletion	745157	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	unclassified	unclassified
RS	RSC4	Persistent Depletion	140200	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	BSV43	unclassified
RS	RSC4	Persistent Depletion	512654	Bacteria	OP3	PBS-25	unclassified	unclassified	unclassified	unclassified
RS	RSC4	Persistent Depletion	553643	Bacteria	Acidobacteria	Holophagae	Holophagales	Holophagaceae	Geothrix	unclassified
RS	RSC4	Persistent Depletion	706547	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	unclassified	unclassified
RS	RSC4	Persistent Depletion	1108275	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Limnohabitans	unclassified
RS	RSC4	Persistent Depletion	527719	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	unclassified
RS	RSC4	Persistent Depletion	820412	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	unclassified
RS	RSC4	Persistent Depletion	705559	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	unclassified	unclassified
