Compartment	Cluster	Trend	OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
RS	RSC1	Transient Enrichment	966091	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Geodermatophilaceae	Modestobacter	unclassified
RS	RSC1	Transient Enrichment	994823	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Patulibacteraceae	unclassified	unclassified
RS	RSC1	Transient Enrichment	589372	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	unclassified	unclassified
RS	RSC1	Transient Enrichment	113486	Bacteria	Chloroflexi	Anaerolineae	GCA004	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	1084157	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae	Janibacter	unclassified
RS	RSC1	Transient Enrichment	906820	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Skermanella	unclassified
RS	RSC1	Transient Enrichment	308836	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	unclassified	unclassified
RS	RSC1	Transient Enrichment	111050	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Conexibacteraceae	unclassified	unclassified
RS	RSC1	Transient Enrichment	755123	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae	unclassified	unclassified
RS	RSC1	Transient Enrichment	562922	Bacteria	Chloroflexi	Gitt-GS-136	unclassified	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	612580	Bacteria	Acidobacteria	[Chloracidobacteria]	RB41	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	241499	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae	unclassified	unclassified
RS	RSC1	Transient Enrichment	549954	Bacteria	Chloroflexi	Thermomicrobia	JG30-KF-CM45	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	368218	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae	unclassified	unclassified
RS	RSC1	Transient Enrichment	257321	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae	unclassified	unclassified
RS	RSC1	Transient Enrichment	897627	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	545548	Bacteria	Chloroflexi	Chloroflexi	[Roseiflexales]	[Kouleothrixaceae]	unclassified	unclassified
RS	RSC1	Transient Enrichment	238766	Bacteria	Chloroflexi	Chloroflexi	[Roseiflexales]	[Kouleothrixaceae]	unclassified	unclassified
RS	RSC1	Transient Enrichment	588861	Bacteria	Chloroflexi	Chloroflexi	[Roseiflexales]	[Kouleothrixaceae]	unclassified	unclassified
RS	RSC1	Transient Enrichment	371783	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	unclassified	unclassified
RS	RSC1	Transient Enrichment	362406	Bacteria	Armatimonadetes	Chthonomonadetes	SJA-22	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	855996	Bacteria	Gemmatimonadetes	Gemmatimonadetes	N1423WL	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	759916	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	unclassified	unclassified
RS	RSC1	Transient Enrichment	4322410	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Skermanella	unclassified
RS	RSC1	Transient Enrichment	112867	Bacteria	Chloroflexi	Ellin6529	unclassified	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	707532	Bacteria	Gemmatimonadetes	Gemm-5	unclassified	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	4411671	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Ellin5290	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	808319	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	550219	Bacteria	Acidobacteria	Acidobacteria-6	iii1-15	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	238280	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	699760	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Adhaeribacter	unclassified
RS	RSC1	Transient Enrichment	960217	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	1107044	Bacteria	Verrucomicrobia	[Pedosphaerae]	[Pedosphaerales]	auto67_4W	unclassified	unclassified
RS	RSC1	Transient Enrichment	927380	Bacteria	Planctomycetes	Phycisphaerae	WD2101	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	1021984	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	1009440	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	unclassified	unclassified
RS	RSC1	Transient Enrichment	918840	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Pseudonocardiaceae	Pseudonocardia	unclassified
RS	RSC1	Transient Enrichment	1053775	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Devosia	unclassified
RS	RSC1	Transient Enrichment	303643	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	unclassified	unclassified
RS	RSC1	Transient Enrichment	256335	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Rhodoplanes	unclassified
RS	RSC1	Transient Enrichment	688259	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Couchioplanes	unclassified
RS	RSC1	Transient Enrichment	529644	Bacteria	Proteobacteria	Betaproteobacteria	SC-I-84	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	112952	Bacteria	Chloroflexi	Ellin6529	unclassified	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	128177	Bacteria	Chloroflexi	Ellin6529	unclassified	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	989109	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Kaistobacter	unclassified
RS	RSC1	Transient Enrichment	1054879	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae	unclassified	unclassified
RS	RSC1	Transient Enrichment	141531	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	unclassified	unclassified
RS	RSC1	Transient Enrichment	217883	Bacteria	Verrucomicrobia	[Pedosphaerae]	[Pedosphaerales]	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	1033426	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	unclassified
RS	RSC1	Transient Enrichment	883748	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	unclassified
RS	RSC1	Transient Enrichment	151012	Bacteria	Actinobacteria	Rubrobacteria	Rubrobacterales	Rubrobacteraceae	Rubrobacter	unclassified
RS	RSC1	Transient Enrichment	822419	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	unclassified	unclassified
RS	RSC1	Transient Enrichment	589297	Bacteria	Verrucomicrobia	[Pedosphaerae]	[Pedosphaerales]	Ellin515	unclassified	unclassified
RS	RSC1	Transient Enrichment	730204	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum	unclassified
RS	RSC1	Transient Enrichment	218235	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Ellin5290	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	594040	Bacteria	Bacteroidetes	[Saprospirae]	[Saprospirales]	Chitinophagaceae	Flavisolibacter	unclassified
RS	RSC1	Transient Enrichment	141902	Bacteria	Gemmatimonadetes	Gemmatimonadetes	KD8-87	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	647919	Bacteria	Gemmatimonadetes	Gemm-1	unclassified	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	574158	Bacteria	Planctomycetes	Phycisphaerae	WD2101	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	770004	Bacteria	Acidobacteria	iii1-8	DS-18	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	1051517	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	unclassified
RS	RSC1	Transient Enrichment	824982	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	unclassified	unclassified
RS	RSC1	Transient Enrichment	4319482	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	249571	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	unclassified	unclassified
RS	RSC1	Transient Enrichment	940828	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	unclassified	unclassified
RS	RSC1	Transient Enrichment	4348693	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	unclassified	unclassified
RS	RSC1	Transient Enrichment	864304	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	1071316	Bacteria	Bacteroidetes	[Saprospirae]	[Saprospirales]	Chitinophagaceae	Flavisolibacter	unclassified
RS	RSC1	Transient Enrichment	1074625	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	unclassified	unclassified
RS	RSC1	Transient Enrichment	1121898	Bacteria	Chloroflexi	Anaerolineae	GCA004	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	251344	Bacteria	Acidobacteria	iii1-8	DS-18	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	1021365	Bacteria	Armatimonadetes	Chthonomonadetes	SJA-22	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	107234	Archaea	Crenarchaeota	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Candidatus Nitrososphaera	SCA1145
RS	RSC1	Transient Enrichment	289530	Bacteria	Chloroflexi	Chloroflexi	[Roseiflexales]	[Kouleothrixaceae]	unclassified	unclassified
RS	RSC1	Transient Enrichment	1081489	Bacteria	Fibrobacteres	Fibrobacteria	258ds10	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	1572885	Bacteria	Gemmatimonadetes	Gemm-5	unclassified	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	562008	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Sinobacteraceae	Steroidobacter	unclassified
RS	RSC1	Transient Enrichment	1060353	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Conexibacteraceae	unclassified	unclassified
RS	RSC1	Transient Enrichment	1060474	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	144545	Bacteria	Chloroflexi	Chloroflexi	[Roseiflexales]	[Kouleothrixaceae]	unclassified	unclassified
RS	RSC1	Transient Enrichment	217917	Bacteria	Chloroflexi	Chloroflexi	[Roseiflexales]	[Kouleothrixaceae]	unclassified	unclassified
RS	RSC1	Transient Enrichment	248468	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	unclassified	unclassified
RS	RSC1	Transient Enrichment	833317	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	unclassified
RS	RSC1	Transient Enrichment	274025	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus	unclassified
RS	RSC1	Transient Enrichment	850971	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Pseudonocardiaceae	Amycolatopsis	unclassified
RS	RSC1	Transient Enrichment	1033380	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	unclassified	unclassified
RS	RSC1	Transient Enrichment	810959	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae	Knoellia	unclassified
RS	RSC1	Transient Enrichment	114389	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Ellin5301	unclassified	unclassified
RS	RSC1	Transient Enrichment	225041	Bacteria	Chloroflexi	Chloroflexi	[Roseiflexales]	[Kouleothrixaceae]	unclassified	unclassified
RS	RSC1	Transient Enrichment	984895	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Ellin5301	unclassified	unclassified
RS	RSC1	Transient Enrichment	782495	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	360530	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Ellin5301	unclassified	unclassified
RS	RSC1	Transient Enrichment	105000	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Ellin5301	unclassified	unclassified
RS	RSC1	Transient Enrichment	113004	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Ellin5301	unclassified	unclassified
RS	RSC1	Transient Enrichment	839836	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	206951	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Ellin5301	unclassified	unclassified
RS	RSC1	Transient Enrichment	536893	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Ellin5301	unclassified	unclassified
RS	RSC1	Transient Enrichment	557467	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Ellin5301	unclassified	unclassified
RS	RSC1	Transient Enrichment	215003	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	801268	Bacteria	Planctomycetes	Planctomycetia	Gemmatales	Isosphaeraceae	unclassified	unclassified
RS	RSC1	Transient Enrichment	1062748	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Mycobacteriaceae	Mycobacterium	unclassified
RS	RSC1	Transient Enrichment	558911	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Kribbella	unclassified
RS	RSC1	Transient Enrichment	1081815	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	unclassified	unclassified
RS	RSC1	Transient Enrichment	996116	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	unclassified	unclassified
RS	RSC1	Transient Enrichment	1081618	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Patulibacteraceae	unclassified	unclassified
RS	RSC1	Transient Enrichment	997371	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	unclassified	unclassified
RS	RSC1	Transient Enrichment	835594	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Balneimonas	unclassified
